category,item_name,serving_size_g,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,dietary_fiber_g,sugars_g,protein_g,category_clean,chain
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,9.6 oz (251 g),260,4.0,1.5,0.0,5,115,49,5,18,5,breakfast,mcdonalds
Beef & Pork,Big Mac,7.4 oz (211 g),530,27.0,10.0,1.0,85,960,47,3,9,24,burger,mcdonalds
Beef & Pork,Quarter Pounder with Cheese,7.1 oz (202 g),520,26.0,12.0,1.5,95,1100,41,3,10,30,burger,mcdonalds
Beef & Pork,Quarter Pounder with Bacon & Cheese,8 oz (227 g),600,29.0,13.0,1.5,105,1440,48,3,12,37,burger,mcdonalds
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,8.3 oz (235 g),610,31.0,13.0,1.5,105,1180,46,3,10,37,burger,mcdonalds
Beef & Pork,Quarter Pounder Deluxe,8.6 oz (244 g),540,27.0,11.0,1.5,85,960,45,3,9,29,burger,mcdonalds
Beef & Pork,Double Quarter Pounder with Cheese,10 oz (283 g),750,43.0,19.0,2.5,160,1280,42,3,10,48,burger,mcdonalds
Beef & Pork,Hamburger,3.5 oz (98 g),240,8.0,3.0,0.0,30,480,32,1,6,12,burger,mcdonalds
Beef & Pork,Cheeseburger,4 oz (113 g),290,11.0,5.0,0.5,45,680,33,2,7,15,burger,mcdonalds
Beef & Pork,Double Cheeseburger,5.7 oz (161 g),430,21.0,10.0,1.0,90,1040,35,2,7,24,burger,mcdonalds
Beef & Pork,Bacon Clubhouse Burger,9.5 oz (270 g),720,40.0,15.0,1.5,115,1470,51,4,14,39,burger,mcdonalds
Beef & Pork,McDouble,5.2 oz (147 g),380,17.0,8.0,1.0,75,840,34,2,7,22,burger,mcdonalds
Beef & Pork,Bacon McDouble,5.7 oz (161 g),440,22.0,10.0,1.0,90,1110,35,2,7,27,burger,mcdonalds
Beef & Pork,Daily Double,6.7 oz (190 g),430,22.0,9.0,1.0,80,760,34,2,7,22,burger,mcdonalds
Beef & Pork,Jalapeño Double,5.6 oz (159 g),430,23.0,9.0,1.0,80,1030,35,2,6,22,burger,mcdonalds
Beef & Pork,McRib,7.3 oz (208 g),500,26.0,10.0,0.0,70,980,44,3,11,22,burger,mcdonalds
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,7.5 oz (213 g),510,22.0,3.5,0.0,45,990,55,3,10,24,burger,mcdonalds
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,7 oz (200 g),350,9.0,2.0,0.0,65,820,42,3,8,28,burger,mcdonalds
