chain,category_clean,item_name,serve_size,serve_size_unit,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,dietary_fiber_g,sugars_g,protein_g,calories_kcal_norm,total_fat_norm,saturated_fat_norm,trans_fat_norm,cholesterol_norm,sodium_norm,carbohydrates_norm,dietary_fiber_norm,sugars_norm,protein_norm
McDondalds,beverage,Blueberry Pomegranate Smoothie (Small),340.96,ml,220,0.5,0.0,0.0,5.0,40.0,50.0,3.0,44.0,2.0,64.52,0.15,0.0,0.0,1.47,11.73,14.66,0.88,12.9,0.59
McDondalds,beverage,Blueberry Pomegranate Smoothie (Medium),454.61,ml,260,1.0,0.0,0.0,5.0,50.0,62.0,4.0,54.0,3.0,57.19,0.22,0.0,0.0,1.1,11.0,13.64,0.88,11.88,0.66
McDondalds,beverage,Blueberry Pomegranate Smoothie (Large),625.09,ml,340,1.0,0.5,0.0,5.0,65.0,79.0,5.0,70.0,4.0,54.39,0.16,0.08,0.0,0.8,10.4,12.64,0.8,11.2,0.64
McDondalds,beverage,Strawberry Banana Smoothie (Small),340.96,ml,210,0.5,0.0,0.0,5.0,50.0,47.0,3.0,44.0,3.0,61.59,0.15,0.0,0.0,1.47,14.66,13.78,0.88,12.9,0.88
McDondalds,beverage,Strawberry Banana Smoothie (Medium),454.61,ml,250,1.0,0.0,0.0,5.0,60.0,58.0,3.0,54.0,4.0,54.99,0.22,0.0,0.0,1.1,13.2,12.76,0.66,11.88,0.88
McDondalds,beverage,Strawberry Banana Smoothie (Large),625.09,ml,330,1.0,0.5,0.0,5.0,80.0,74.0,4.0,70.0,5.0,52.79,0.16,0.08,0.0,0.8,12.8,11.84,0.64,11.2,0.8
McDondalds,beverage,Mango Pineapple Smoothie (Small),340.96,ml,210,0.5,0.0,0.0,5.0,40.0,50.0,1.0,46.0,2.0,61.59,0.15,0.0,0.0,1.47,11.73,14.66,0.29,13.49,0.59
McDondalds,beverage,Mango Pineapple Smoothie (Medium),454.61,ml,260,1.0,0.0,0.0,5.0,45.0,61.0,1.0,56.0,3.0,57.19,0.22,0.0,0.0,1.1,9.9,13.42,0.22,12.32,0.66
McDondalds,beverage,Mango Pineapple Smoothie (Large),625.09,ml,340,1.0,0.5,0.0,5.0,60.0,78.0,2.0,72.0,4.0,54.39,0.16,0.08,0.0,0.8,9.6,12.48,0.32,11.52,0.64
McDondalds,beverage,Vanilla Shake (Small),340.96,ml,530,15.0,10.0,1.0,60.0,160.0,86.0,0.0,63.0,11.0,155.44,4.4,2.93,0.29,17.6,46.93,25.22,0.0,18.48,3.23
McDondalds,beverage,Vanilla Shake (Medium),454.61,ml,660,19.0,12.0,1.0,75.0,200.0,109.0,0.0,81.0,14.0,145.18,4.18,2.64,0.22,16.5,43.99,23.98,0.0,17.82,3.08
McDondalds,beverage,Vanilla Shake (Large),625.09,ml,820,23.0,15.0,1.0,90.0,260.0,135.0,0.0,101.0,18.0,131.18,3.68,2.4,0.16,14.4,41.59,21.6,0.0,16.16,2.88
McDondalds,beverage,Strawberry Shake (Small),340.96,ml,550,16.0,10.0,1.0,60.0,160.0,90.0,0.0,79.0,12.0,161.31,4.69,2.93,0.29,17.6,46.93,26.4,0.0,23.17,3.52
McDondalds,beverage,Strawberry Shake (Medium),454.61,ml,690,20.0,13.0,1.0,75.0,210.0,114.0,0.0,100.0,15.0,151.78,4.4,2.86,0.22,16.5,46.19,25.08,0.0,22.0,3.3
McDondalds,beverage,Strawberry Shake (Large),625.09,ml,850,24.0,15.0,1.0,90.0,260.0,140.0,0.0,123.0,18.0,135.98,3.84,2.4,0.16,14.4,41.59,22.4,0.0,19.68,2.88
McDondalds,beverage,Chocolate Shake (Small),340.96,ml,560,16.0,10.0,1.0,60.0,240.0,91.0,1.0,77.0,12.0,164.24,4.69,2.93,0.29,17.6,70.39,26.69,0.29,22.58,3.52
McDondalds,beverage,Chocolate Shake (Medium),454.61,ml,700,20.0,12.0,1.0,75.0,300.0,114.0,2.0,97.0,15.0,153.98,4.4,2.64,0.22,16.5,65.99,25.08,0.44,21.34,3.3
McDondalds,beverage,Chocolate Shake (Large),625.09,ml,850,23.0,15.0,1.0,85.0,380.0,141.0,2.0,120.0,19.0,135.98,3.68,2.4,0.16,13.6,60.79,22.56,0.32,19.2,3.04
McDondalds,beverage,Shamrock Shake (Medium),454.61,ml,660,19.0,12.0,1.0,75.0,210.0,109.0,0.0,93.0,14.0,145.18,4.18,2.64,0.22,16.5,46.19,23.98,0.0,20.46,3.08
