chain,category_clean,item_name,serve_size_new,serve_size_unit,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,dietary_fiber_g,sugars_g,protein_g,category,serving_size_g
McDondalds,breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),423,g,990,46.0,16.0,0.0,55,2170,110,6,17,35,Breakfast,14.9 oz (423 g)
McDondalds,breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),437,g,1050,50.0,16.0,0.0,55,2290,115,7,18,35,Breakfast,15.4 oz (437 g)
McDondalds,breakfast,Hotcakes,151,g,350,9.0,2.0,0.0,20,590,60,3,14,8,Breakfast,5.3 oz (151 g)
McDondalds,breakfast,Hotcakes and Sausage,192,g,520,24.0,7.0,0.0,50,930,61,3,14,15,Breakfast,6.8 oz (192 g)
McDondalds,breakfast,Sausage Burrito,111,g,300,16.0,7.0,0.0,115,790,26,1,2,12,Breakfast,3.9 oz (111 g)
McDondalds,breakfast,Hash Brown,56,g,150,9.0,1.5,0.0,0,310,15,2,0,1,Breakfast,2 oz (56 g)
McDondalds,breakfast,Cinnamon Melts,114,g,460,19.0,9.0,0.0,15,370,66,3,32,6,Breakfast,4 oz (114 g)
McDondalds,breakfast,Fruit & Maple Oatmeal,251,g,290,4.0,1.5,0.0,5,160,58,5,32,5,Breakfast,9.6 oz (251 g)
McDondalds,breakfast,Fruit & Maple Oatmeal without Brown Sugar,251,g,260,4.0,1.5,0.0,5,115,49,5,18,5,Breakfast,9.6 oz (251 g)
McDondalds,burger,Big Mac,211,g,530,27.0,10.0,1.0,85,960,47,3,9,24,Beef & Pork,7.4 oz (211 g)
McDondalds,burger,Quarter Pounder with Cheese,202,g,520,26.0,12.0,1.5,95,1100,41,3,10,30,Beef & Pork,7.1 oz (202 g)
McDondalds,burger,Quarter Pounder with Bacon & Cheese,227,g,600,29.0,13.0,1.5,105,1440,48,3,12,37,Beef & Pork,8 oz (227 g)
McDondalds,burger,Quarter Pounder with Bacon Habanero Ranch,235,g,610,31.0,13.0,1.5,105,1180,46,3,10,37,Beef & Pork,8.3 oz (235 g)
McDondalds,burger,Quarter Pounder Deluxe,244,g,540,27.0,11.0,1.5,85,960,45,3,9,29,Beef & Pork,8.6 oz (244 g)
McDondalds,burger,Double Quarter Pounder with Cheese,283,g,750,43.0,19.0,2.5,160,1280,42,3,10,48,Beef & Pork,10 oz (283 g)
McDondalds,burger,Hamburger,98,g,240,8.0,3.0,0.0,30,480,32,1,6,12,Beef & Pork,3.5 oz (98 g)
McDondalds,burger,Cheeseburger,113,g,290,11.0,5.0,0.5,45,680,33,2,7,15,Beef & Pork,4 oz (113 g)
McDondalds,burger,Double Cheeseburger,161,g,430,21.0,10.0,1.0,90,1040,35,2,7,24,Beef & Pork,5.7 oz (161 g)
McDondalds,burger,Bacon Clubhouse Burger,270,g,720,40.0,15.0,1.5,115,1470,51,4,14,39,Beef & Pork,9.5 oz (270 g)
McDondalds,burger,McDouble,147,g,380,17.0,8.0,1.0,75,840,34,2,7,22,Beef & Pork,5.2 oz (147 g)
McDondalds,burger,Bacon McDouble,161,g,440,22.0,10.0,1.0,90,1110,35,2,7,27,Beef & Pork,5.7 oz (161 g)
McDondalds,burger,Daily Double,190,g,430,22.0,9.0,1.0,80,760,34,2,7,22,Beef & Pork,6.7 oz (190 g)
McDondalds,burger,Jalapeño Double,159,g,430,23.0,9.0,1.0,80,1030,35,2,6,22,Beef & Pork,5.6 oz (159 g)
McDondalds,burger,McRib,208,g,500,26.0,10.0,0.0,70,980,44,3,11,22,Beef & Pork,7.3 oz (208 g)
McDondalds,burger,Premium Crispy Chicken Classic Sandwich,213,g,510,22.0,3.5,0.0,45,990,55,3,10,24,Chicken & Fish,7.5 oz (213 g)
McDondalds,burger,Premium Grilled Chicken Classic Sandwich,200,g,350,9.0,2.0,0.0,65,820,42,3,8,28,Chicken & Fish,7 oz (200 g)
McDondalds,burger,Premium Crispy Chicken Club Sandwich,249,g,670,33.0,9.0,0.0,85,1410,58,3,11,36,Chicken & Fish,8.8 oz (249 g)
McDondalds,burger,Premium Grilled Chicken Club Sandwich,235,g,510,20.0,7.0,0.0,105,1250,44,3,9,40,Chicken & Fish,8.3 oz (235 g)
McDondalds,burger,Premium Crispy Chicken Ranch BLT Sandwich,230,g,610,28.0,6.0,0.0,70,1400,57,3,11,32,Chicken & Fish,8.1 oz (230 g)
McDondalds,burger,Premium Grilled Chicken Ranch BLT Sandwich,217,g,450,15.0,4.5,0.0,90,1230,43,3,9,36,Chicken & Fish,7.6 oz (217 g)
McDondalds,burger,Bacon Clubhouse Crispy Chicken Sandwich,284,g,750,38.0,10.0,0.5,90,1720,65,4,16,36,Chicken & Fish,10 oz (284 g)
McDondalds,burger,Bacon Clubhouse Grilled Chicken Sandwich,270,g,590,25.0,8.0,0.0,110,1560,51,4,14,40,Chicken & Fish,9.5 oz (270 g)
McDondalds,burger,Southern Style Crispy Chicken Sandwich,160,g,430,19.0,3.0,0.0,45,910,43,2,7,21,Chicken & Fish,5.6 oz (160 g)
McDondalds,burger,McChicken,143,g,360,16.0,3.0,0.0,35,800,40,2,5,14,Chicken & Fish,5.1 oz (143 g)
McDondalds,burger,Bacon Cheddar McChicken,171,g,480,24.0,7.0,0.0,65,1260,43,2,6,22,Chicken & Fish,6 oz (171 g)
McDondalds,burger,Bacon Buffalo Ranch McChicken,161,g,430,21.0,5.0,0.0,50,1260,41,2,6,20,Chicken & Fish,5.7 oz (161 g)
McDondalds,burger,Buffalo Ranch McChicken,148,g,360,16.0,3.0,0.0,35,990,40,2,5,14,Chicken & Fish,5.2 oz (148 g)
McDondalds,burger,Premium McWrap Chicken & Bacon (Crispy Chicken),316,g,630,32.0,9.0,0.5,80,1540,56,3,7,32,Chicken & Fish,11.1 oz (316 g)
McDondalds,burger,Premium McWrap Chicken & Bacon (Grilled Chicken),302,g,480,19.0,7.0,0.0,95,1370,42,3,6,36,Chicken & Fish,10.7 oz (302 g)
McDondalds,burger,Premium McWrap Chicken & Ranch (Crispy Chicken),310,g,610,31.0,8.0,0.5,65,1340,56,3,8,27,Chicken & Fish,10.9 oz (310 g)
McDondalds,burger,Premium McWrap Chicken & Ranch (Grilled Chicken),297,g,450,18.0,6.0,0.5,80,1170,42,3,6,30,Chicken & Fish,10.5 oz (297 g)
McDondalds,burger,Premium McWrap Southwest Chicken (Crispy Chicken),314,g,670,33.0,8.0,0.5,60,1480,68,5,12,27,Chicken & Fish,11.1 oz (314 g)
