chain,category_clean,item_name,serve_size,serve_size_unit,nutrition_indicator,value_per_serving
burger_king,breakfast,BK™ Ultimate Breakfast Platter,"390,00",g,sodium_mg,2230
burger_king,breakfast,BK™ Ultimate Breakfast Platter,"390,00",g,carbohydrates_g,110
burger_king,breakfast,BK™ Ultimate Breakfast Platter,"390,00",g,dietary_fiber_g,4
burger_king,breakfast,BK™ Ultimate Breakfast Platter,"390,00",g,sugars_g,40
burger_king,breakfast,BK™ Ultimate Breakfast Platter,"390,00",g,protein_g,24
burger_king,breakfast,"Bacon, Egg & Cheese Biscuit","152,00",g,calories_kcal,400
burger_king,breakfast,"Bacon, Egg & Cheese Biscuit","152,00",g,total_fat_g,26
burger_king,breakfast,"Bacon, Egg & Cheese Biscuit","152,00",g,saturated_fat_g,13
burger_king,breakfast,"Bacon, Egg & Cheese Biscuit","152,00",g,trans_fat_g,0
burger_king,breakfast,"Bacon, Egg & Cheese Biscuit","152,00",g,cholesterol_mg,170
burger_king,breakfast,"Bacon, Egg & Cheese Biscuit","152,00",g,sodium_mg,1270
burger_king,breakfast,"Bacon, Egg & Cheese Biscuit","152,00",g,carbohydrates_g,29
burger_king,breakfast,"Bacon, Egg & Cheese Biscuit","152,00",g,dietary_fiber_g,1
burger_king,breakfast,"Bacon, Egg & Cheese Biscuit","152,00",g,sugars_g,3
burger_king,breakfast,"Bacon, Egg & Cheese Biscuit","152,00",g,protein_g,13
burger_king,breakfast,Breakfast Burrito Jr.,"143,00",g,calories_kcal,370
burger_king,breakfast,Breakfast Burrito Jr.,"143,00",g,total_fat_g,23
burger_king,breakfast,Breakfast Burrito Jr.,"143,00",g,saturated_fat_g,8
burger_king,breakfast,Breakfast Burrito Jr.,"143,00",g,trans_fat_g,0
burger_king,breakfast,Breakfast Burrito Jr.,"143,00",g,cholesterol_mg,150
burger_king,breakfast,Breakfast Burrito Jr.,"143,00",g,sodium_mg,930
burger_king,breakfast,Breakfast Burrito Jr.,"143,00",g,carbohydrates_g,27
burger_king,breakfast,Breakfast Burrito Jr.,"143,00",g,dietary_fiber_g,3
burger_king,breakfast,Breakfast Burrito Jr.,"143,00",g,sugars_g,2
burger_king,breakfast,Breakfast Burrito Jr.,"143,00",g,protein_g,15
burger_king,breakfast,"CROISSAN'WICH® Bacon, Egg & Cheese","132,00",g,calories_kcal,370
burger_king,breakfast,"CROISSAN'WICH® Bacon, Egg & Cheese","132,00",g,total_fat_g,21
burger_king,breakfast,"CROISSAN'WICH® Bacon, Egg & Cheese","132,00",g,saturated_fat_g,9
burger_king,breakfast,"CROISSAN'WICH® Bacon, Egg & Cheese","132,00",g,trans_fat_g,0
burger_king,breakfast,"CROISSAN'WICH® Bacon, Egg & Cheese","132,00",g,cholesterol_mg,170
burger_king,breakfast,"CROISSAN'WICH® Bacon, Egg & Cheese","132,00",g,sodium_mg,760
burger_king,breakfast,"CROISSAN'WICH® Bacon, Egg & Cheese","132,00",g,carbohydrates_g,30
burger_king,breakfast,"CROISSAN'WICH® Bacon, Egg & Cheese","132,00",g,dietary_fiber_g,1
burger_king,breakfast,"CROISSAN'WICH® Bacon, Egg & Cheese","132,00",g,sugars_g,4
burger_king,breakfast,"CROISSAN'WICH® Bacon, Egg & Cheese","132,00",g,protein_g,14
burger_king,breakfast,CROISSAN'WICH® Egg & Cheese,"125,00",g,calories_kcal,340
burger_king,breakfast,CROISSAN'WICH® Egg & Cheese,"125,00",g,total_fat_g,18
burger_king,breakfast,CROISSAN'WICH® Egg & Cheese,"125,00",g,saturated_fat_g,8
burger_king,breakfast,CROISSAN'WICH® Egg & Cheese,"125,00",g,trans_fat_g,0
burger_king,breakfast,CROISSAN'WICH® Egg & Cheese,"125,00",g,cholesterol_mg,160
burger_king,breakfast,CROISSAN'WICH® Egg & Cheese,"125,00",g,sodium_mg,610
burger_king,breakfast,CROISSAN'WICH® Egg & Cheese,"125,00",g,carbohydrates_g,29
burger_king,breakfast,CROISSAN'WICH® Egg & Cheese,"125,00",g,dietary_fiber_g,1
burger_king,breakfast,CROISSAN'WICH® Egg & Cheese,"125,00",g,sugars_g,4
burger_king,breakfast,CROISSAN'WICH® Egg & Cheese,"125,00",g,protein_g,12
burger_king,breakfast,"CROISSAN'WICH® Ham, Egg & Cheese","156,00",g,calories_kcal,370
burger_king,breakfast,"CROISSAN'WICH® Ham, Egg & Cheese","156,00",g,total_fat_g,19
burger_king,breakfast,"CROISSAN'WICH® Ham, Egg & Cheese","156,00",g,saturated_fat_g,8
burger_king,breakfast,"CROISSAN'WICH® Ham, Egg & Cheese","156,00",g,trans_fat_g,0
burger_king,breakfast,"CROISSAN'WICH® Ham, Egg & Cheese","156,00",g,cholesterol_mg,175
burger_king,breakfast,"CROISSAN'WICH® Ham, Egg & Cheese","156,00",g,sodium_mg,1030
burger_king,breakfast,"CROISSAN'WICH® Ham, Egg & Cheese","156,00",g,carbohydrates_g,30
burger_king,breakfast,"CROISSAN'WICH® Ham, Egg & Cheese","156,00",g,dietary_fiber_g,1
burger_king,breakfast,"CROISSAN'WICH® Ham, Egg & Cheese","156,00",g,sugars_g,5
burger_king,breakfast,"CROISSAN'WICH® Ham, Egg & Cheese","156,00",g,protein_g,17
burger_king,breakfast,"CROISSAN'WICH® Sausage, Egg & Cheese","169,00",g,calories_kcal,500
burger_king,breakfast,"CROISSAN'WICH® Sausage, Egg & Cheese","169,00",g,total_fat_g,33
burger_king,breakfast,"CROISSAN'WICH® Sausage, Egg & Cheese","169,00",g,saturated_fat_g,13
burger_king,breakfast,"CROISSAN'WICH® Sausage, Egg & Cheese","169,00",g,trans_fat_g,0
burger_king,breakfast,"CROISSAN'WICH® Sausage, Egg & Cheese","169,00",g,cholesterol_mg,195
burger_king,breakfast,"CROISSAN'WICH® Sausage, Egg & Cheese","169,00",g,sodium_mg,930
burger_king,breakfast,"CROISSAN'WICH® Sausage, Egg & Cheese","169,00",g,carbohydrates_g,30
burger_king,breakfast,"CROISSAN'WICH® Sausage, Egg & Cheese","169,00",g,dietary_fiber_g,1
burger_king,breakfast,"CROISSAN'WICH® Sausage, Egg & Cheese","169,00",g,sugars_g,4
burger_king,breakfast,"CROISSAN'WICH® Sausage, Egg & Cheese","169,00",g,protein_g,19
burger_king,breakfast,Double CROISSAN'WICH® with Ham & Sausage,"211,00",g,calories_kcal,580
burger_king,breakfast,Double CROISSAN'WICH® with Ham & Sausage,"211,00",g,total_fat_g,38
burger_king,breakfast,Double CROISSAN'WICH® with Ham & Sausage,"211,00",g,saturated_fat_g,16
burger_king,breakfast,Double CROISSAN'WICH® with Ham & Sausage,"211,00",g,trans_fat_g,"0,5"
burger_king,breakfast,Double CROISSAN'WICH® with Ham & Sausage,"211,00",g,cholesterol_mg,220
burger_king,breakfast,Double CROISSAN'WICH® with Ham & Sausage,"211,00",g,sodium_mg,1530
burger_king,breakfast,Double CROISSAN'WICH® with Ham & Sausage,"211,00",g,carbohydrates_g,31
burger_king,breakfast,Double CROISSAN'WICH® with Ham & Sausage,"211,00",g,dietary_fiber_g,1
burger_king,breakfast,Double CROISSAN'WICH® with Ham & Sausage,"211,00",g,sugars_g,5
burger_king,breakfast,Double CROISSAN'WICH® with Ham & Sausage,"211,00",g,protein_g,27
burger_king,breakfast,Double CROISSAN'WICH® with Sausage,"224,00",g,calories_kcal,710
burger_king,breakfast,Double CROISSAN'WICH® with Sausage,"224,00",g,total_fat_g,52
burger_king,breakfast,Double CROISSAN'WICH® with Sausage,"224,00",g,saturated_fat_g,20
burger_king,breakfast,Double CROISSAN'WICH® with Sausage,"224,00",g,trans_fat_g,"0,5"
burger_king,breakfast,Double CROISSAN'WICH® with Sausage,"224,00",g,cholesterol_mg,240
