item_name;category;Serving Size (g);Calories;Calories from fat;Total fat (g);Saturated Fat (g);Trans Fat (g);Chol (mg);Sodium (mg);Total Carb (g);Dietary Fiber (g);Total Sugar (g);Protein (g);;
WHOPPER® Sandwich;WHOPPER® SANDWICHES;270;660;360;40;12;1.5;90;980;49;2;11;28;;
WHOPPER® Sandwich with Cheese;WHOPPER® SANDWICHES;292;740;420;46;16;2;115;1340;50;2;11;32;;
Bacon & Cheese WHOPPER® Sandwich;WHOPPER® SANDWICHES;303;790;460;51;17;2;125;1560;50;2;11;35;;
DOUBLE WHOPPER® Sandwich;WHOPPER® SANDWICHES;354;900;520;58;20;3;175;1050;49;2;11;48;;
DOUBLE WHOPPER® Sandwich with Cheese;WHOPPER® SANDWICHES;377;980;580;64;24;3;195;1410;50;2;11;52;;
TRIPLE WHOPPER® Sandwich;WHOPPER® SANDWICHES;438;1130;680;75;28;4;255;1120;49;2;11;67;;
TRIPLE WHOPPER® Sandwich with Cheese;WHOPPER® SANDWICHES;461;1220;740;82;32;4.5;280;1470;50;2;11;71;;
WHOPPER JR.®;WHOPPER® SANDWICHES;134;310;160;18;5;0.5;40;390;27;1;7;13;;
BACON KING™ Sandwich;FLAME BROILED BURGERS;356;1150;710;79;31;3.5;240;2150;49;2;10;61;;
Cheddar BACON KING™ Sandwich;FLAME BROILED BURGERS;366;1190;750;84;33;3.5;235;1930;50;2;11;64;;
Single Quarter Pound KING™ Sandwich;FLAME BROILED BURGERS;231;580;260;29;13;1.5;105;1310;49;2;10;32;;
Double Quarter Pound KING™ Sandwich;FLAME BROILED BURGERS;338;900;480;54;25;3;210;1740;50;2;11;56;;
Single STACKER KING™;FLAME BROILED BURGERS;223;700;380;42;16;2;125;1360;48;1;10;35;;
Double STACKER KING™;FLAME BROILED BURGERS;334;1050;610;68;28;3.5;235;1870;49;1;11;61;;
IMPOSSIBLE™ WHOPPER® Sandwich**;FLAME BROILED BURGERS;285;630;310;34;11;0;10;1080;58;4;12;25;;
Hamburger;FLAME BROILED BURGERS;99;240;90;10;3.5;0.5;35;380;26;1;6;13;;
Cheeseburger;FLAME BROILED BURGERS;111;280;120;13;6;0.5;45;560;27;1;7;15;;
Double Hamburger;FLAME BROILED BURGERS;136;350;160;18;7;1;70;410;26;1;6;21;;
Double Cheeseburger;FLAME BROILED BURGERS;148;390;190;21;9;1.5;85;590;27;1;7;23;;
Extra Long Cheeseburger;FLAME BROILED BURGERS;226;630;330;37;14;1.5;100;1050;45;2;9;29;;
Bacon Cheeseburger;FLAME BROILED BURGERS;118;320;140;16;7;0.5;55;710;27;1;7;17;;
Bacon Double Cheeseburger;FLAME BROILED BURGERS;155;420;210;24;10;1.5;90;740;27;1;7;25;;
Crispy Chicken Sandwich;CHICKEN & MORE;228;670;370;41;7;0;60;1080;54;2;8;23;;
Spicy Crispy Chicken Sandwich;CHICKEN & MORE;242;700;370;42;7;0;65;1140;57;3;8;25;;
Original Chicken Sandwich;CHICKEN & MORE;219;660;360;40;7;0;75;1170;48;2;5;28;;
Bacon & Cheese Crispy Chicken Sandwich;CHICKEN & MORE;262;800;460;52;13;1;95;1650;55;2;8;30;;
BBQ Bacon Crispy Chicken Sandwich;CHICKEN & MORE;249;790;440;49;10;0.5;80;1630;60;2;13;28;;
Crispy Chicken Jr.;CHICKEN & MORE;142;450;270;30;5;0;30;780;34;2;5;12;;
Spicy Crispy Chicken Jr.;CHICKEN & MORE;142;390;190;21;3.5;0;30;740;37;2;6;12;;
Chicken Nuggets- 4pc;CHICKEN & MORE;58;170;100;11;1.5;0;25;310;11;1;0;8;;
Chicken Nuggets- 6pc;CHICKEN & MORE;88;260;150;16;2.5;0;35;470;16;1;0;12;;
Chicken Nuggets- 10pc;CHICKEN & MORE;146;430;240;27;4.5;0;55;780;27;2;0;20;;
Chicken Nuggets- 20pc;CHICKEN & MORE;292;860;490;54;9;0;115;1570;53;3;1;39;;
Spicy Chicken Nuggets- 4pc;CHICKEN & MORE;66;210;130;15;3;0;20;570;11;2;0;8;;
Spicy Chicken Nuggets- 6pc;CHICKEN & MORE;99;320;200;22;4.5;0;35;850;17;3;0;12;;
Spicy Chicken Nuggets- 10 pc;CHICKEN & MORE;165;530;330;37;7;0;55;1420;28;4;1;20;;
Spicy Chicken Nuggets- 20 pc;CHICKEN & MORE;330;1050;670;74;15;0;110;2840;56;9;1;40;;
Chicken Fries - 9 pc.;CHICKEN & MORE;91;280;150;17;2.5;0;35;850;20;1;1;13;;
Crispy Taco;CHICKEN & MORE;76;170;80;9;3;0;10;410;19;2;1;5;;
BIG FISH™ Sandwich;CHICKEN & MORE;188;510;250;28;4.5;0;30;1180;51;2;7;16;;
Garden Chicken Salad with Crispy Chicken - no dressing;SALADS & SIDES;287;440;220;25;7;0;75;930;31;3;4;25;;
Club Salad with Crispy Chicken - no dressing;SALADS & SIDES;308;540;300;33;10;0;95;1380;31;3;5;31;;
Garden Side Salad - w/o dressing;SALADS & SIDES;99;60;35;4;2.5;0;10;95;3;1;2;4;;
Ken's Ranch Dressing;SALADS & SIDES;43;260;250;28;4;0;10;240;2;0;2;1;;
Ken's Golden Italian Dressing;SALADS & SIDES;43;160;150;17;2.5;0;0;380;4;0;3;0;;
Ken's Lite Honey Balsamic Vinaigrette;SALADS & SIDES;43;120;70;8;1;0;0;220;14;0;11;0;;
Buttery Garlic Croutons- Packet;SALADS & SIDES;14;60;20;2.5;0;0;10;180;9;0;1;1;;
Onion Rings - value;SALADS & SIDES;43;150;70;8;1.5;0;0;400;19;1;2;1;;
Onion Rings - small;SALADS & SIDES;91;320;150;16;3;0;0;840;41;3;4;3;;
Onion Rings - medium;SALADS & SIDES;117;410;190;21;3.5;0;0;1080;53;4;5;4;;
Onion Rings - large;SALADS & SIDES;142;500;230;25;4.5;0;0;1310;64;5;7;5;;
French Fries - value (unsalted);SALADS & SIDES;89;220;80;9;1.5;0;0;210;34;3;1;2;;
French Fries - small (unsalted);SALADS & SIDES;128;320;120;13;2;0;0;300;49;5;1;4;;
